Данные по сигналу Мгновенный расход ИЛ №1 (т/ч) (т/ч):,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Дата: с 21.12.2017 по 25.12.2018 23:59:59,,,,,,
Время,Значение,Качество,,,,
2018-01-15 16:00:00,0,Хорошее,,,,
2018-01-15 17:00:00,0,Хорошее,,,,
2018-01-15 18:00:00,0,Хорошее,,,,
2018-01-15 19:00:00,0,Хорошее,,,,
2018-01-15 20:00:00,0,Хорошее,,,,
2018-01-15 21:00:00,0,Хорошее,,,,
2018-01-15 22:00:00,0,Хорошее,,,,
2018-01-15 23:00:00,0,Хорошее,,,,
2018-01-16 00:00:00,0,Хорошее,,,,
2018-01-16 01:00:00,0,Хорошее,,,,
2018-01-16 02:00:00,0,Хорошее,,,,
2018-01-16 03:00:00,0,Хорошее,,,,
2018-01-16 04:00:00,0,Хорошее,,,,
2018-01-16 05:00:00,0,Хорошее,,,,
2018-01-16 06:00:00,0,Хорошее,,,,
2018-01-16 07:00:00,0,Хорошее,,,,
2018-01-16 08:00:00,0,Хорошее,,,,
2018-01-16 09:00:00,0,Хорошее,,,,
2018-01-16 10:00:00,0,Хорошее,,,,
2018-01-16 11:00:00,0,Хорошее,,,,
2018-01-16 12:00:00,0,Хорошее,,,,
2018-01-16 13:00:00,0,Хорошее,,,,
2018-01-16 14:00:00,0,Хорошее,,,,
2018-01-16 15:00:00,0,Хорошее,,,,
2018-01-16 16:00:00,0,Хорошее,,,,
2018-01-16 17:00:00,0,Хорошее,,,,
2018-01-16 18:00:00,0,Хорошее,,,,
2018-01-16 19:00:00,0,Хорошее,,,,
2018-01-16 20:00:00,0,Хорошее,,,,
2018-01-16 21:00:00,0,Хорошее,,,,
2018-01-16 22:00:00,0,Хорошее,,,,
2018-01-16 23:00:00,0,Хорошее,,,,
2018-01-17 00:00:00,0,Хорошее,,,,
2018-01-17 01:00:00,0,Хорошее,,,,
2018-01-17 02:00:00,430.42120361328125,Хорошее,,,,
2018-01-17 03:00:00,391.4273986816406,Хорошее,,,,
2018-01-17 04:00:00,451.7312316894531,Хорошее,,,,
2018-01-17 05:00:00,444.3128356933594,Хорошее,,,,
2018-01-17 06:00:00,444.4009704589844,Хорошее,,,,
2018-01-17 07:00:00,444.41668701171875,Хорошее,,,,
2018-01-17 08:00:00,444.3872985839844,Хорошее,,,,
2018-01-17 09:00:00,444.3624572753906,Хорошее,,,,
2018-01-17 10:00:00,444.3614196777344,Хорошее,,,,
2018-01-17 11:00:00,430.999755859375,Хорошее,,,,
2018-01-17 12:00:00,444.47900390625,Хорошее,,,,
2018-01-17 13:00:00,444.39910888671875,Хорошее,,,,
2018-01-17 14:00:00,444.5050354003906,Хорошее,,,,
2018-01-17 15:00:00,444.5501403808594,Хорошее,,,,
2018-01-17 16:00:00,444.6500244140625,Хорошее,,,,
2018-01-17 17:00:00,440.1704406738281,Хорошее,,,,
2018-01-17 18:00:00,444.67364501953125,Хорошее,,,,
2018-01-17 19:00:00,444.686279296875,Хорошее,,,,
2018-01-17 20:00:00,444.7005310058594,Хорошее,,,,
2018-01-17 21:00:00,444.6649475097656,Хорошее,,,,
2018-01-17 22:00:00,444.6392517089844,Хорошее,,,,
2018-01-17 23:00:00,444.55157470703125,Хорошее,,,,
2018-01-18 00:00:00,444.5218811035156,Хорошее,,,,
2018-01-18 01:00:00,444.4723815917969,Хорошее,,,,
2018-01-18 02:00:00,444.4750061035156,Хорошее,,,,
2018-01-18 03:00:00,457.9919738769531,Хорошее,,,,
2018-01-18 04:00:00,444.4813537597656,Хорошее,,,,
2018-01-18 05:00:00,449.0968322753906,Хорошее,,,,
2018-01-18 06:00:00,453.4948425292969,Хорошее,,,,
2018-01-18 07:00:00,444.5202331542969,Хорошее,,,,
2018-01-18 08:00:00,444.5037841796875,Хорошее,,,,
2018-01-18 09:00:00,444.53515625,Хорошее,,,,
2018-01-18 10:00:00,444.540283203125,Хорошее,,,,
2018-01-18 11:00:00,444.5096435546875,Хорошее,,,,
2018-01-18 12:00:00,444.4549865722656,Хорошее,,,,
2018-01-18 13:00:00,444.3157043457031,Хорошее,,,,
2018-01-18 14:00:00,444.2167053222656,Хорошее,,,,
2018-01-18 15:00:00,444.3281555175781,Хорошее,,,,
2018-01-18 16:00:00,444.3515319824219,Хорошее,,,,
2018-01-18 17:00:00,440.0135498046875,Хорошее,,,,
2018-01-18 18:00:00,444.5760498046875,Хорошее,,,,
2018-01-18 19:00:00,444.4649658203125,Хорошее,,,,
2018-01-18 20:00:00,444.4618225097656,Хорошее,,,,
2018-01-18 21:00:00,435.38482666015625,Хорошее,,,,
2018-01-18 22:00:00,431.2045593261719,Хорошее,,,,
2018-01-18 23:00:00,430.8748779296875,Хорошее,,,,
2018-01-19 00:00:00,444.2657470703125,Хорошее,,,,
2018-01-19 01:00:00,444.3381652832031,Хорошее,,,,
2018-01-19 02:00:00,444.22015380859375,Хорошее,,,,
2018-01-19 03:00:00,430.8205261230469,Хорошее,,,,
2018-01-19 04:00:00,444.10711669921875,Хорошее,,,,
2018-01-19 05:00:00,430.8191223144531,Хорошее,,,,
2018-01-19 06:00:00,444.3219299316406,Хорошее,,,,
2018-01-19 07:00:00,439.78955078125,Хорошее,,,,
2018-01-19 08:00:00,444.3760681152344,Хорошее,,,,
2018-01-19 09:00:00,387.79937744140625,Хорошее,,,,
